fam,test,violation_type
inanimate_005_right_pair.png,inanimate_005_right.png,number
animate_004_left_pair.png,animate_003_left_pair.png,identity
inanimate_005_right_pair.png,inanimate_001_right_pair.png,identity
inanimate_003_right.png,animate_011_right.png,animacy
inanimate_006_left.png,inanimate_011_left.png,identity
animate_009_right.png,inanimate_004_right.png,animacy
animate_008_right_pair.png,animate_008_left_pair.png,pose
inanimate_004_right_pair.png,animate_011_right_pair.png,animacy
animate_003_left.png,inanimate_002_left.png,animacy
inanimate_008_left_pair.png,inanimate_012_left_pair.png,identity
animate_011_left.png,animate_004_left.png,identity
animate_009_left_pair.png,inanimate_001_left_pair.png,animacy
inanimate_011_right.png,inanimate_008_right.png,identity
animate_010_right.png,inanimate_006_right.png,animacy
inanimate_010_left_pair.png,inanimate_010_left.png,number
inanimate_003_right_pair.png,inanimate_004_right_pair.png,identity
inanimate_003_left_pair.png,inanimate_007_left_pair.png,identity
animate_008_right_pair.png,inanimate_008_right_pair.png,animacy
inanimate_007_left.png,inanimate_009_left.png,identity
animate_003_left.png,animate_010_left.png,identity
animate_009_left.png,animate_008_left.png,identity
animate_004_left_pair.png,animate_001_left_pair.png,identity
inanimate_010_left_pair.png,inanimate_001_left_pair.png,identity
inanimate_010_right_pair.png,animate_007_right_pair.png,animacy
inanimate_004_left_pair.png,animate_007_left_pair.png,animacy
inanimate_008_left.png,animate_009_left.png,animacy
inanimate_011_left.png,inanimate_007_left.png,identity
animate_002_right.png,animate_010_right.png,identity
inanimate_008_left.png,animate_006_left.png,animacy
animate_003_left_pair.png,animate_003_right_pair.png,pose
inanimate_011_left_pair.png,inanimate_011_right_pair.png,pose
inanimate_002_left_pair.png,inanimate_007_left_pair.png,identity
animate_005_left_pair.png,inanimate_008_left_pair.png,animacy
animate_005_right.png,inanimate_005_right.png,animacy
inanimate_004_right.png,animate_008_right.png,animacy
animate_010_left_pair.png,animate_011_left_pair.png,identity
inanimate_004_right_pair.png,animate_009_right_pair.png,animacy
animate_007_right_pair.png,inanimate_001_right_pair.png,animacy
animate_008_left.png,animate_010_left.png,identity
inanimate_003_right_pair.png,inanimate_003_right.png,number
animate_007_left_pair.png,animate_007_right_pair.png,pose
animate_004_right_pair.png,animate_006_right_pair.png,identity
inanimate_011_right.png,inanimate_009_right.png,identity
animate_008_left.png,inanimate_011_left.png,animacy
animate_012_left_pair.png,inanimate_007_left_pair.png,animacy
inanimate_002_right_pair.png,inanimate_012_right_pair.png,identity
animate_012_right_pair.png,animate_007_right_pair.png,identity
animate_008_left.png,animate_002_left.png,identity
inanimate_002_right.png,animate_003_right.png,animacy
animate_012_left.png,animate_012_left_pair.png,number
inanimate_011_right.png,animate_002_right.png,animacy
animate_007_left_pair.png,inanimate_008_left_pair.png,animacy
inanimate_002_right.png,inanimate_003_right.png,identity
inanimate_007_right_pair.png,inanimate_007_left_pair.png,pose
animate_007_left.png,inanimate_008_left.png,animacy
animate_002_left.png,inanimate_012_left.png,animacy
animate_010_left.png,animate_003_left.png,identity
inanimate_011_right_pair.png,animate_001_right_pair.png,animacy
animate_010_right_pair.png,animate_006_right_pair.png,identity
animate_011_left.png,inanimate_010_left.png,animacy
inanimate_010_right.png,animate_007_right.png,animacy
animate_011_right_pair.png,animate_011_left_pair.png,pose
inanimate_012_left_pair.png,inanimate_012_left.png,number
inanimate_007_left_pair.png,inanimate_007_right_pair.png,pose
animate_011_left.png,inanimate_007_left.png,animacy
animate_003_right.png,inanimate_005_right.png,animacy
inanimate_010_right_pair.png,inanimate_006_right_pair.png,identity
animate_012_right_pair.png,animate_004_right_pair.png,identity
animate_010_right.png,animate_008_right.png,identity
inanimate_004_left_pair.png,animate_012_left_pair.png,animacy
animate_005_left.png,inanimate_007_left.png,animacy
animate_006_left.png,animate_007_left.png,identity
inanimate_009_left.png,inanimate_003_left.png,identity
animate_011_right.png,animate_009_right.png,identity
animate_001_left.png,inanimate_006_left.png,animacy
inanimate_006_left.png,inanimate_010_left.png,identity
inanimate_010_right.png,animate_010_right.png,animacy
animate_006_right.png,animate_008_right.png,identity
animate_006_left_pair.png,inanimate_006_left_pair.png,animacy
animate_012_left_pair.png,inanimate_005_left_pair.png,animacy
inanimate_011_left_pair.png,animate_005_left_pair.png,animacy
inanimate_001_right.png,inanimate_006_right.png,identity
animate_010_right_pair.png,animate_008_right_pair.png,identity
inanimate_004_right.png,inanimate_003_right.png,identity
inanimate_012_right.png,animate_003_right.png,animacy
inanimate_011_right.png,animate_010_right.png,animacy
animate_010_right.png,inanimate_004_right.png,animacy
animate_006_left.png,animate_009_left.png,identity
inanimate_004_left_pair.png,inanimate_008_left_pair.png,identity
animate_008_right.png,animate_007_right.png,identity
animate_007_right.png,inanimate_008_right.png,animacy
animate_010_left.png,inanimate_011_left.png,animacy
animate_009_left_pair.png,inanimate_002_left_pair.png,animacy
inanimate_005_right.png,inanimate_007_right.png,identity
inanimate_009_right_pair.png,animate_002_right_pair.png,animacy
inanimate_005_left_pair.png,inanimate_008_left_pair.png,identity
inanimate_004_left.png,inanimate_010_left.png,identity
inanimate_002_left.png,inanimate_002_right.png,pose
animate_004_right.png,animate_008_right.png,identity
inanimate_003_left.png,animate_009_left.png,animacy
inanimate_009_left_pair.png,inanimate_009_left.png,number
inanimate_008_left_pair.png,animate_008_left_pair.png,animacy
animate_009_left_pair.png,animate_011_left_pair.png,identity
inanimate_012_right_pair.png,inanimate_008_right_pair.png,identity
inanimate_003_right_pair.png,animate_009_right_pair.png,animacy
inanimate_009_left_pair.png,inanimate_007_left_pair.png,identity
animate_012_right_pair.png,animate_003_right_pair.png,identity
animate_003_right.png,animate_006_right.png,identity
animate_004_right.png,inanimate_010_right.png,animacy
animate_012_left_pair.png,inanimate_004_left_pair.png,animacy
animate_008_left_pair.png,animate_005_left_pair.png,identity
inanimate_008_left_pair.png,animate_005_left_pair.png,animacy
inanimate_011_right.png,animate_008_right.png,animacy
inanimate_004_left.png,inanimate_003_left.png,identity
inanimate_002_right_pair.png,animate_001_right_pair.png,animacy
animate_003_right_pair.png,inanimate_008_right_pair.png,animacy
animate_003_right.png,animate_002_right.png,identity
animate_004_right.png,animate_004_left.png,pose
animate_010_right_pair.png,animate_004_right_pair.png,identity
inanimate_008_right.png,inanimate_003_right.png,identity
animate_006_left_pair.png,inanimate_011_left_pair.png,animacy
animate_012_left_pair.png,animate_010_left_pair.png,identity
animate_011_right_pair.png,animate_002_right_pair.png,identity
inanimate_009_left_pair.png,inanimate_005_left_pair.png,identity
inanimate_001_right.png,inanimate_010_right.png,identity
animate_002_right_pair.png,inanimate_003_right_pair.png,animacy
animate_001_left_pair.png,inanimate_011_left_pair.png,animacy
animate_004_left_pair.png,animate_005_left_pair.png,identity
inanimate_004_left_pair.png,inanimate_004_left.png,number
inanimate_012_left.png,animate_004_left.png,animacy
inanimate_005_right.png,inanimate_003_right.png,identity
inanimate_004_left.png,animate_008_left.png,animacy
animate_010_right.png,inanimate_007_right.png,animacy
animate_002_right_pair.png,inanimate_001_right_pair.png,animacy
animate_002_right_pair.png,inanimate_007_right_pair.png,animacy
animate_005_right.png,inanimate_011_right.png,animacy
animate_005_left_pair.png,animate_010_left_pair.png,identity
animate_010_right.png,animate_012_right.png,identity
animate_012_right.png,inanimate_005_right.png,animacy
inanimate_010_right.png,animate_006_right.png,animacy
inanimate_012_right.png,animate_009_right.png,animacy
animate_004_left.png,inanimate_012_left.png,animacy
animate_008_left_pair.png,animate_009_left_pair.png,identity
inanimate_008_right_pair.png,inanimate_008_left_pair.png,pose
animate_009_right_pair.png,animate_012_right_pair.png,identity
animate_010_left_pair.png,inanimate_009_left_pair.png,animacy
animate_007_right.png,inanimate_005_right.png,animacy
inanimate_002_left.png,animate_012_left.png,animacy
animate_012_right_pair.png,inanimate_004_right_pair.png,animacy
animate_001_right.png,inanimate_010_right.png,animacy
inanimate_005_left.png,inanimate_005_left_pair.png,number
inanimate_012_right.png,animate_010_right.png,animacy
animate_002_left_pair.png,animate_001_left_pair.png,identity
animate_012_right_pair.png,inanimate_005_right_pair.png,animacy
animate_011_left.png,inanimate_006_left.png,animacy
animate_001_left.png,animate_006_left.png,identity
animate_003_right_pair.png,animate_003_right.png,number
animate_005_left.png,animate_004_left.png,identity
animate_005_right_pair.png,inanimate_008_right_pair.png,animacy
animate_006_left.png,inanimate_002_left.png,animacy
inanimate_012_right.png,inanimate_007_right.png,identity
animate_009_right_pair.png,animate_002_right_pair.png,identity
inanimate_003_left.png,inanimate_001_left.png,identity
animate_003_left_pair.png,animate_002_left_pair.png,identity
animate_006_right_pair.png,inanimate_010_right_pair.png,animacy
animate_006_right.png,animate_012_right.png,identity
inanimate_002_left.png,inanimate_011_left.png,identity
animate_007_left_pair.png,inanimate_011_left_pair.png,animacy
animate_008_left_pair.png,inanimate_002_left_pair.png,animacy
animate_011_left_pair.png,animate_003_left_pair.png,identity
inanimate_008_left_pair.png,animate_001_left_pair.png,animacy
inanimate_004_right_pair.png,inanimate_004_right.png,number
inanimate_011_right_pair.png,inanimate_005_right_pair.png,identity
inanimate_002_left_pair.png,animate_012_left_pair.png,animacy
inanimate_002_left.png,inanimate_012_left.png,identity
inanimate_004_right_pair.png,inanimate_011_right_pair.png,identity
inanimate_012_right.png,inanimate_008_right.png,identity
animate_010_right.png,inanimate_008_right.png,animacy
inanimate_006_right.png,inanimate_001_right.png,identity
inanimate_008_right.png,animate_006_right.png,animacy
inanimate_005_left.png,inanimate_009_left.png,identity
animate_011_left_pair.png,animate_011_right_pair.png,pose
animate_004_left_pair.png,inanimate_010_left_pair.png,animacy
animate_011_left.png,animate_009_left.png,identity
animate_006_left.png,animate_006_left_pair.png,number
animate_005_left.png,animate_006_left.png,identity
inanimate_011_left_pair.png,inanimate_009_left_pair.png,identity
animate_004_left_pair.png,animate_004_left.png,number
animate_009_left_pair.png,animate_009_right_pair.png,pose
animate_007_left_pair.png,animate_006_left_pair.png,identity
inanimate_006_right_pair.png,animate_008_right_pair.png,animacy
animate_003_left.png,animate_006_left.png,identity
inanimate_007_left.png,inanimate_006_left.png,identity
inanimate_002_left_pair.png,animate_007_left_pair.png,animacy
inanimate_001_left_pair.png,animate_001_left_pair.png,animacy
inanimate_012_right.png,animate_004_right.png,animacy
inanimate_007_left.png,animate_007_left.png,animacy
animate_002_left.png,inanimate_006_left.png,animacy
inanimate_006_left_pair.png,inanimate_008_left_pair.png,identity
animate_012_right_pair.png,animate_009_right_pair.png,identity
inanimate_003_left.png,animate_011_left.png,animacy
inanimate_009_left.png,inanimate_001_left.png,identity
animate_010_right.png,inanimate_009_right.png,animacy
animate_012_left.png,animate_003_left.png,identity
inanimate_001_left.png,animate_012_left.png,animacy
inanimate_004_left_pair.png,animate_001_left_pair.png,animacy
animate_011_right.png,inanimate_005_right.png,animacy
inanimate_010_right_pair.png,inanimate_011_right_pair.png,identity
inanimate_008_right_pair.png,inanimate_010_right_pair.png,identity
inanimate_010_left.png,animate_001_left.png,animacy
inanimate_006_right_pair.png,animate_007_right_pair.png,animacy
animate_009_right.png,animate_012_right.png,identity
animate_002_right_pair.png,inanimate_010_right_pair.png,animacy
inanimate_011_right.png,inanimate_007_right.png,identity
animate_011_left_pair.png,inanimate_012_left_pair.png,animacy
inanimate_001_right_pair.png,animate_012_right_pair.png,animacy
animate_001_left_pair.png,inanimate_004_left_pair.png,animacy
inanimate_003_left_pair.png,animate_002_left_pair.png,animacy
inanimate_003_right_pair.png,animate_010_right_pair.png,animacy
animate_003_right.png,inanimate_010_right.png,animacy
animate_001_right.png,animate_002_right.png,identity
animate_007_right.png,animate_010_right.png,identity
animate_006_left.png,animate_010_left.png,identity
animate_002_right_pair.png,animate_008_right_pair.png,identity
inanimate_005_left.png,inanimate_011_left.png,identity
inanimate_006_left.png,inanimate_002_left.png,identity
inanimate_006_right_pair.png,inanimate_010_right_pair.png,identity
inanimate_012_right.png,inanimate_009_right.png,identity
inanimate_007_left_pair.png,animate_004_left_pair.png,animacy
animate_012_right_pair.png,inanimate_012_right_pair.png,animacy
inanimate_006_right_pair.png,inanimate_001_right_pair.png,identity
animate_007_right_pair.png,animate_003_right_pair.png,identity
inanimate_012_left.png,inanimate_005_left.png,identity
animate_004_left_pair.png,animate_004_right_pair.png,pose
inanimate_007_left_pair.png,inanimate_011_left_pair.png,identity
inanimate_007_left.png,inanimate_011_left.png,identity
animate_008_left_pair.png,inanimate_005_left_pair.png,animacy
animate_008_left_pair.png,animate_010_left_pair.png,identity
inanimate_004_right_pair.png,animate_008_right_pair.png,animacy
inanimate_001_left_pair.png,inanimate_003_left_pair.png,identity
animate_004_right.png,inanimate_012_right.png,animacy
animate_012_left.png,animate_012_right.png,pose
inanimate_010_right.png,animate_008_right.png,animacy
animate_003_left_pair.png,animate_011_left_pair.png,identity
inanimate_005_right.png,inanimate_009_right.png,identity
animate_008_right.png,animate_010_right.png,identity
animate_006_right.png,inanimate_005_right.png,animacy
inanimate_011_left.png,animate_004_left.png,animacy
animate_012_right.png,inanimate_009_right.png,animacy
animate_008_right_pair.png,inanimate_003_right_pair.png,animacy
animate_004_right_pair.png,inanimate_006_right_pair.png,animacy
animate_006_right_pair.png,animate_011_right_pair.png,identity
inanimate_011_right_pair.png,inanimate_002_right_pair.png,identity
inanimate_005_left.png,inanimate_003_left.png,identity
animate_005_left.png,inanimate_008_left.png,animacy
inanimate_009_right_pair.png,animate_012_right_pair.png,animacy
animate_011_right_pair.png,animate_006_right_pair.png,identity
animate_001_right_pair.png,animate_007_right_pair.png,identity
animate_012_right.png,inanimate_006_right.png,animacy
animate_008_left.png,animate_001_left.png,identity
inanimate_010_right.png,animate_009_right.png,animacy
inanimate_011_left.png,inanimate_006_left.png,identity
animate_011_right.png,animate_008_right.png,identity
animate_009_left_pair.png,inanimate_005_left_pair.png,animacy
animate_008_left.png,inanimate_002_left.png,animacy
animate_005_left.png,inanimate_004_left.png,animacy
inanimate_005_left_pair.png,animate_006_left_pair.png,animacy
animate_011_right.png,inanimate_003_right.png,animacy
inanimate_007_right.png,animate_007_right.png,animacy
inanimate_005_right.png,inanimate_008_right.png,identity
animate_010_right_pair.png,animate_010_left_pair.png,pose
inanimate_008_left.png,inanimate_003_left.png,identity
animate_002_right_pair.png,inanimate_008_right_pair.png,animacy
animate_004_left_pair.png,animate_002_left_pair.png,identity
inanimate_001_right_pair.png,inanimate_002_right_pair.png,identity
animate_010_left.png,animate_009_left.png,identity
animate_012_left.png,inanimate_002_left.png,animacy
animate_009_left_pair.png,inanimate_010_left_pair.png,animacy
inanimate_001_right.png,inanimate_007_right.png,identity
animate_011_left_pair.png,animate_010_left_pair.png,identity
inanimate_011_right_pair.png,animate_011_right_pair.png,animacy
inanimate_004_right.png,animate_012_right.png,animacy
animate_002_left_pair.png,inanimate_003_left_pair.png,animacy
animate_012_left_pair.png,animate_008_left_pair.png,identity
inanimate_009_left.png,animate_001_left.png,animacy
animate_009_left.png,inanimate_001_left.png,animacy
inanimate_012_left.png,animate_011_left.png,animacy
animate_006_right_pair.png,animate_004_right_pair.png,identity
inanimate_003_left.png,inanimate_012_left.png,identity
animate_001_right_pair.png,animate_001_left_pair.png,pose
animate_001_right.png,animate_007_right.png,identity
animate_009_right.png,inanimate_002_right.png,animacy
animate_004_right.png,inanimate_009_right.png,animacy
animate_009_left.png,animate_011_left.png,identity
inanimate_004_left.png,inanimate_011_left.png,identity
animate_011_right_pair.png,animate_012_right_pair.png,identity
inanimate_002_right_pair.png,inanimate_004_right_pair.png,identity
animate_003_left_pair.png,inanimate_011_left_pair.png,animacy
inanimate_001_right.png,animate_002_right.png,animacy
inanimate_012_left_pair.png,inanimate_002_left_pair.png,identity
animate_010_right_pair.png,inanimate_008_right_pair.png,animacy
inanimate_005_right.png,animate_011_right.png,animacy
animate_006_left.png,inanimate_010_left.png,animacy
animate_005_left_pair.png,inanimate_002_left_pair.png,animacy
animate_006_right_pair.png,inanimate_001_right_pair.png,animacy
inanimate_005_left_pair.png,animate_011_left_pair.png,animacy
inanimate_011_right.png,inanimate_003_right.png,identity
animate_007_left.png,animate_003_left.png,identity
inanimate_002_left_pair.png,inanimate_008_left_pair.png,identity
animate_009_right.png,inanimate_001_right.png,animacy
